109,109.14,105.26,104.39,102.51,100.63,99.743,97.804,96.807,96.931,89.779,90.975,91.822,91.417,88.889,84.95,82.698,82.755,81.808,78.834,76.88,72.869,68.847,65.845,63.865,55.692,54.727,54.793,52.79,51.304,49.228,47.242,42.8,41.015,43.82,49.412,61.303,82.03,92.535,111.1,124.34,129.32,137.89,140.17,141.39,143.67,148.07,153.54,157.96,160.27,165.77,182.99,184.27,187.69,190.05,199.89,201.19,204.64
110.75,110.89,111.03,111.16,106.2,104.29,103.39,101.47,100.48,99.545,98.675,94.055,92.834,91.534,90.596,89.174,86.048,85.1,84.157,82.178,80.196,77.165,73.083,68.991,66.982,63.92,56.654,55.672,55.435,52.064,49.465,48.267,44.954,42.352,45.311,52.33,68.374,83.563,93.564,112.21,127.08,133.39,142.59,145.63,150.09,152.41,157.97,162.46,168.04,170.39,185.71,188.09,190.47,192.87,203.94,204.18,207.68,212.28
117.66,114.7,112.78,112.92,113.06,110.08,109.18,107.24,106.33,105.41,103.45,101.49,100.62,97.602,92.433,91.481,91.591,90.649,87.594,85.588,85.693,82.62,78.479,74.327,72.292,69.186,65.008,62.952,57.068,56.304,51.543,50.859,48.304,49.176,51.637,62.215,78.477,96.229,105.49,121.99,136.49,143.78,157.59,170.07,163.35,165.72,171.38,179.23,188.19,188.42,191.93,195.45,201.18,206.92,210.46,215.12,216.48,221.16
123.68,120.68,119.78,116.78,114.82,114.96,115.1,112.07,110.1,109.17,107.19,105.19,104.26,103.32,102.38,93.967,93.013,93.128,92.17,89.064,87.024,86.055,82.929,78.717,76.654,73.504,69.264,67.181,62.69,54.769,51.188,51.403,51.637,53.099,54.121,66.732,84.823,104.94,114.96,132.72,147.1,153.77,168.25,178.95,176.15,173.2,184.01,190.89,193.34,194.68,198.25,209.64,209.88,213.48,217.09,221.83,224.33,225.72
129.83,126.79,125.88,122.84,119.78,116.72,116.86,117.01,115,114.07,112.06,110.04,108.01,107.07,105.03,104.08,95.522,95.639,94.669,93.695,91.628,88.464,86.385,82.111,81.115,76.824,75.43,69.802,61.193,55.764,53.683,54.051,57.701,64.902,68.154,77.995,94.99,115.42,126.43,146.23,162.16,169.34,182.39,191.52,187.44,189.18,193.58,194.94,199.68,201.05,212.59,213.98,216.5,220.15,224.96,228.63,228.9,230.31
137.18,136.27,134.28,131.19,128.1,125,124.07,120.95,118.92,119.07,119.21,116.08,114.03,113.07,111.01,108.95,106.88,105.91,101.62,97.319,96.331,95.293,92.062,88.905,86.788,76.743,68.656,62.454,58.152,58.21,62.342,65.128,78.36,90.97,93.392,99.762,116.17,136.19,145.29,162.04,178.35,186.87,195.83,198.03,202.77,203.32,203.64,204.71,215.29,215.54,219.24,222.95,225.51,231.54,232.96,233.23,233.51,236.1
139.22,139.39,139.57,137.54,135.51,132.37,130.33,127.17,124.01,123.05,120.98,121.13,119.06,118.09,116.01,113.92,111.82,110.84,108.73,105.5,100.01,97.819,95.484,91.333,85.548,71.573,60.941,60.38,60.86,67.509,76.337,80.903,96.215,109.68,112.44,121.63,138.72,154.2,159.13,168.49,180.8,188.49,198.91,204.58,211.34,213.56,217.56,219.26,220.17,222.23,225.99,230.92,234.7,236.14,236.42,239.04,240.49,243.12
141.26,141.43,141.61,141.79,141.96,138.78,136.71,133.52,130.31,129.35,126.13,122.91,123.06,123.21,119.97,118.98,116.81,115.79,113.67,111.42,110.04,104.84,99.148,87.704,79.442,65.546,62.061,63.266,74.407,84.418,94.759,99.711,115.18,128.18,130.68,139.17,159.46,167.79,167.89,172.77,183.75,190.26,201.3,212.06,219.46,222.94,230.59,234.25,232.79,231.05,234.02,237.85,239.31,240.78,243.44,244.91,246.39,249.06
144.42,143.47,143.65,143.83,144.01,144.19,144.37,143.41,140.17,138.06,134.81,131.54,129.41,127.28,125.14,125.29,123.15,122.15,119.99,117.78,116.8,111.28,94.746,83.861,77.537,66.094,65.825,77.095,92.442,107.02,120.39,125.96,141.49,153.05,154.66,154.79,163.78,173.17,176.44,183.91,194.2,200.1,211.58,219.88,229.76,233.5,239.71,244.57,247.1,247.76,245.2,244.88,246.37,249.07,251.77,254.48,255.98,262.33
149.91,148.95,147.99,147.02,146.06,146.24,146.42,146.6,146.79,145.81,142.51,139.21,135.9,133.74,130.41,127.07,127.23,126.22,124.03,121.84,118.42,109.38,90.31,82.718,78.155,67.151,67.231,74.931,93.285,112.22,130.33,137.12,152.4,162.08,163.27,162.33,166.1,176.2,181.62,191.88,202.03,207.35,218,225.18,233.66,237.2,243.66,249.55,253.83,255.6,254.89,254.64,253.53,256.27,259.01,262.98,265.74,266.05
